💚更新时间10-22,#genre#
仅供学习使用,http://ali.hlspull.yximgs.com/live/asdfg863678266.flv
咪咕频道,#genre#
CCTV-01咪咕,http://rihou.cc:567/dd.php?id=cctv1$涛哥直播•IPV4
CCTV-02咪咕,http://rihou.cc:567/dd.php?id=cctv2$涛哥直播•IPV4
CCTV-03咪咕,http://rihou.cc:567/dd.php?id=cctv3$涛哥直播•IPV4
CCTV-04咪咕,http://rihou.cc:567/dd.php?id=cctv4$涛哥直播•IPV4
CCTV-05咪咕,http://rihou.cc:567/dd.php?id=cctv5$涛哥直播•IPV4
CCTV-5+咪咕,http://rihou.cc:567/dd.php?id=cctv5p$涛哥直播•IPV4
CCTV-06咪咕,http://rihou.cc:567/dd.php?id=cctv6$涛哥直播•IPV4
CCTV-07咪咕,http://rihou.cc:567/dd.php?id=cctv7$涛哥直播•IPV4
CCTV-08咪咕,http://rihou.cc:567/dd.php?id=cctv8$涛哥直播•IPV4
CCTV-09咪咕,http://rihou.cc:567/dd.php?id=cctv9$涛哥直播•IPV4
CCTV-10咪咕,http://rihou.cc:567/dd.php?id=cctv10$涛哥直播•IPV4
CCTV-11咪咕,http://rihou.cc:567/dd.php?id=cctv11$涛哥直播•IPV4
CCTV-12咪咕,http://rihou.cc:567/dd.php?id=cctv12$涛哥直播•IPV4
CCTV-13咪咕,http://rihou.cc:567/dd.php?id=cctv13$涛哥直播•IPV4
CCTV-14咪咕,http://rihou.cc:567/dd.php?id=cctv14$涛哥直播•IPV4
CCTV-15咪咕,http://rihou.cc:567/dd.php?id=cctv15$涛哥直播•IPV4
CCTV-17咪咕,http://rihou.cc:567/dd.php?id=cctv17$涛哥直播•IPV4
CT4欧洲咪咕,http://rihou.cc:567/dd.php?id=cctv4o$涛哥直播•IPV4
CT4美洲咪咕,http://rihou.cc:567/dd.php?id=cctv4a$涛哥直播•IPV4
CGT纪录咪咕,http://rihou.cc:567/dd.php?id=cgtnjl$涛哥直播•IPV4
CGT西语咪咕,http://rihou.cc:567/dd.php?id=cgtne$涛哥直播•IPV4
CGT阿语咪咕,http://rihou.cc:567/dd.php?id=cgtna$涛哥直播•IPV4
CGT法语咪咕,http://rihou.cc:567/dd.php?id=cgtnf$涛哥直播•IPV4
CGT俄语咪咕,http://rihou.cc:567/dd.php?id=cgtnr$涛哥直播•IPV4
家庭影院咪咕,http://rihou.cc:567/dd.php?id=chcjt$涛哥直播•IPV4
动作电影咪咕,http://rihou.cc:567/dd.php?id=chcdz$涛哥直播•IPV4
发现之旅咪咕,http://rihou.cc:567/dd.php?id=fxzl$涛哥直播•IPV4
老故事台咪咕,http://rihou.cc:567/dd.php?id=lgs$涛哥直播•IPV4
中学生台咪咕,http://rihou.cc:567/dd.php?id=zxs$涛哥直播•IPV4
东方卫视咪咕,http://rihou.cc:567/dd.php?id=dfws$涛哥直播•IPV4
吉林卫视咪咕,http://rihou.cc:567/dd.php?id=jlws$涛哥直播•IPV4
青海卫视咪咕,http://rihou.cc:567/dd.php?id=qhws$涛哥直播•IPV4
陕西卫视咪咕,http://rihou.cc:567/dd.php?id=sxws$涛哥直播•IPV4
湖北卫视咪咕,http://rihou.cc:567/dd.php?id=hubws$涛哥直播•IPV4
江西卫视咪咕,http://rihou.cc:567/dd.php?id=jxws$涛哥直播•IPV4
江苏卫视咪咕,http://rihou.cc:567/dd.php?id=jsws$涛哥直播•IPV4
广东卫视咪咕,http://rihou.cc:567/dd.php?id=gdws$涛哥直播•IPV4
湾区卫视咪咕,http://rihou.cc:567/dd.php?id=dwqws$涛哥直播•IPV4
海南卫视咪咕,http://rihou.cc:567/dd.php?id=hinws$涛哥直播•IPV4
四海钓鱼咪咕,http://rihou.cc:567/dd.php?id=shdy$涛哥直播•IPV4
江苏教育咪咕,http://rihou.cc:567/dd.php?id=jsjy$涛哥直播•IPV4
山东教育咪咕,http://rihou.cc:567/dd.php?id=sdjy$涛哥直播•IPV4
游戏风云咪咕,http://rihou.cc:567/dd.php?id=yxfy$涛哥直播•IPV4
之江纪录咪咕,http://rihou.cc:567/dd.php?id=zjjl$涛哥直播•IPV4
杭州综合咪咕,http://rihou.cc:567/dd.php?id=hzzh$涛哥直播•IPV4
杭州明珠咪咕,http://rihou.cc:567/dd.php?id=hzmz$涛哥直播•IPV4
杭州生活咪咕,http://rihou.cc:567/dd.php?id=hzsh$涛哥直播•IPV4
杭州影视咪咕,http://rihou.cc:567/dd.php?id=hzys$涛哥直播•IPV4
杭州少体咪咕,http://rihou.cc:567/dd.php?id=hzse$涛哥直播•IPV4
嵊泗综合咪咕,http://rihou.cc:567/dd.php?id=ssxwzh$涛哥直播•IPV4
普陀电视咪咕,http://rihou.cc:567/dd.php?id=ptxwzh$涛哥直播•IPV4
高清大片咪咕,http://rihou.cc:567/dd.php?id=gqdp$涛哥直播•IPV4
